Date,Close
2018-12-03,23.76
2018-12-04,22.57
2018-12-06,22.01
2018-12-07,21.31
2018-12-10,20.82
2018-12-11,20.52
2018-12-12,20.7
2018-12-13,20.21
2018-12-14,20.02
2018-12-17,19.83
2018-12-18,20.06
2018-12-19,18.82
2018-12-20,18.48
2018-12-21,18.19
2018-12-24,17.27
2018-12-26,18.4
2018-12-27,18.36
2018-12-28,18.25
2018-12-31,18.24
2019-01-02,18.51
2019-01-03,18.48
2019-01-04,20.34
2019-01-07,20.45
2019-01-08,20.7
2019-01-09,20.84
2019-01-10,20.99
2019-01-11,21.04
2019-01-14,20.82
2019-01-15,20.19
2019-01-16,20.63
2019-01-17,21.22
2019-01-18,21.5
2019-01-22,20.87
2019-01-23,20.63
2019-01-24,20.71
2019-01-25,21.64
2019-01-28,21.71
2019-01-29,21.31
2019-01-30,22.22
2019-01-31,22.54
2019-02-01,22.04
2019-02-04,22.67
2019-02-05,23.09
2019-02-06,23.17
2019-02-07,22.57
2019-02-08,21.95
2019-02-11,22.57
2019-02-12,22.81
2019-02-13,22.75
2019-02-14,22.65
2019-02-15,22.92
2019-02-19,23.03
2019-02-20,24
2019-02-21,24.12
2019-02-22,24.1
2019-02-25,23.94
2019-02-26,23.9
2019-02-27,23.74
2019-02-28,22.41
2019-03-01,22.3
2019-03-04,22.24
2019-03-05,21.9
2019-03-06,20.58
2019-03-07,20
2019-03-08,19.25
2019-03-11,20.01
2019-03-12,20.42
2019-03-13,20.36
2019-03-14,19.78
2019-03-15,19.66
2019-03-18,19.79
2019-03-19,19.98
2019-03-20,19.78
2019-03-21,20.3
2019-03-22,19.09
2019-03-25,19.1
2019-03-26,19.22
2019-03-27,19.15
2019-03-28,19.38
2019-03-29,19.49
2019-04-01,20.15
2019-04-02,19.93
2019-04-03,20.04
2019-04-04,19.95
2019-04-05,19.84
2019-04-08,19.74
2019-04-09,17.77
2019-04-10,17.25
2019-04-11,16.69
2019-04-12,16.74
2019-04-15,16.71
2019-04-16,16.76
2019-04-17,16.66
2019-04-18,16.42
2019-04-22,16.11
2019-04-23,16.15
2019-04-24,16.1
2019-04-25,15.68
2019-04-26,15.67
2019-04-29,15.8
2019-04-30,15.6
2019-05-01,15.27
2019-05-02,14.39
2019-05-03,16.88
2019-05-06,16.63
2019-05-07,16.41
2019-05-08,15.4
2019-05-09,15.8
2019-05-10,15.66
2019-05-13,14.72
2019-05-14,15.11
2019-05-15,15.06
2019-05-16,14.86
2019-05-17,14.59
2019-05-20,14.26
2019-05-21,14.9
2019-05-22,14.25
2019-05-23,13.7
2019-05-24,13.63
2019-05-28,13.26
2019-05-29,12.85
2019-05-30,12.21
2019-05-31,11.82
2019-06-03,12.52
2019-06-04,13.29
2019-06-05,13.09
2019-06-06,13.21
2019-06-07,13.58
2019-06-10,13.8
2019-06-11,13.99
2019-06-12,13.75
2019-06-13,14.27
2019-06-14,13.78
2019-06-17,13.96
2019-06-18,14.58
2019-06-19,15.17
2019-06-20,14.55
2019-06-21,14.67
